journal,issn-l,issn-e,categories
2D MATERIALS,2053-1583,2053-1583,"Materials Science, Multidisciplinary | Nanoscience & Nanotechnology | Physics, Applied"
3 BIOTECH,2190-572X,2190-5738,Biotechnology & Applied Microbiology
3D PRINTING AND ADDITIVE MANUFACTURING,2329-7662,2329-7670,"Engineering, Manufacturing | Materials Science, Multidisciplinary"
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,1619-4500,1614-2411,Operations Research & Management Science
AAPG BULLETIN,0149-1423,1558-9153,"Geosciences, Multidisciplinary"
AAPS JOURNAL,1550-7416,1550-7416,Pharmacology & Pharmacy
AAPS PHARMSCITECH,1530-9932,1530-9932,Pharmacology & Pharmacy
AATCC JOURNAL OF RESEARCH,2472-3444,2330-5517,"Materials Science, Textiles"
AATCC REVIEW,1532-8813,1532-8813,"Chemistry, Applied | Engineering, Chemical | Materials Science, Textiles"
ABDOMINAL RADIOLOGY,2366-004X,2366-0058,"Radiology, Nuclear Medicine & Medical Imaging"
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,0025-5858,1865-8784,Mathematics
ACADEMIC EMERGENCY MEDICINE,1069-6563,1553-2712,Emergency Medicine
ACADEMIC MEDICINE,1040-2446,1938-808X,"Education, Scientific Disciplines | Health Care Sciences & Services"
ACADEMIC PEDIATRICS,1876-2859,1876-2867,Pediatrics
ACADEMIC RADIOLOGY,1076-6332,1878-4046,"Radiology, Nuclear Medicine & Medical Imaging"
ACAROLOGIA,0044-586X,2107-7207,Entomology
ACCOUNTABILITY IN RESEARCH-ETHICS INTEGRITY AND POLICY,0898-9621,1545-5815,Medical Ethics
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,1520-4898,"Chemistry, Multidisciplinary"
ACCREDITATION AND QUALITY ASSURANCE,0949-1775,1432-0517,"Chemistry, Analytical | Instruments & Instrumentation"
ACI MATERIALS JOURNAL,0889-325X,1944-737X,"Construction & Building Technology | Materials Science, Multidisciplinary"
ACI STRUCTURAL JOURNAL,0889-3241,1944-7361,"Construction & Building Technology | Engineering, Civil | Materials Science, Multidisciplinary"
ACM COMPUTING SURVEYS,0360-0300,1557-7341,"Computer Science, Theory & Methods"
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,1556-4673,1556-4711,"Computer Science, Interdisciplinary Applications"
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,1550-4832,1550-4840,"Computer Science, Hardware & Architecture | Engineering, Electrical & Electronic | Nanoscience & Nanotechnology"
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,0146-4833,1943-5819,"Computer Science, Information Systems"
ACM TRANSACTIONS ON ALGORITHMS,1549-6325,1549-6333,"Computer Science, Theory & Methods | Mathematics, Applied"
ACM TRANSACTIONS ON APPLIED PERCEPTION,1544-3558,1544-3965,"Computer Science, Software Engineering"
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,1544-3566,1544-3973,"Computer Science, Hardware & Architecture | Computer Science, Theory & Methods"
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,2375-4699,2375-4702,"Computer Science, Artificial Intelligence"
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,1556-4665,1556-4703,"Computer Science, Artificial Intelligence | Computer Science, Information Systems | Computer Science, Theory & Methods"
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,1529-3785,1557-945X,"Computer Science, Theory & Methods | Logic"
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,1073-0516,1557-7325,"Computer Science, Cybernetics | Computer Science, Information Systems"
ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,1557-7333,"Computer Science, Theory & Methods"
ACM TRANSACTIONS ON COMPUTING EDUCATION,1946-6226,1946-6226,"Education, Scientific Disciplines"
ACM TRANSACTIONS ON DATABASE SYSTEMS,0362-5915,1557-4644,"Computer Science, Information Systems | Computer Science, Software Engineering"
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,1084-4309,1557-7309,"Computer Science, Hardware & Architecture | Computer Science, Software Engineering"
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,1539-9087,1558-3465,"Computer Science, Hardware & Architecture | Computer Science, Software Engineering"
ACM TRANSACTIONS ON GRAPHICS,0730-0301,1557-7368,"Computer Science, Software Engineering"
ACM TRANSACTIONS ON INFORMATION SYSTEMS,1046-8188,1558-2868,"Computer Science, Information Systems"
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,2157-6904,2157-6912,"Computer Science, Artificial Intelligence | Computer Science, Information Systems"
ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,2160-6455,2160-6463,"Computer Science, Artificial Intelligence"
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,1533-5399,1557-6051,"Computer Science, Information Systems | Computer Science, Software Engineering"
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,1556-4681,1556-472X,"Computer Science, Information Systems | Computer Science, Software Engineering"
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,0098-3500,1557-7295,"Computer Science, Software Engineering | Mathematics, Applied"
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,1049-3301,1558-1195,"Computer Science, Interdisciplinary Applications | Mathematics, Applied"
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,1551-6857,1551-6865,"Computer Science, Information Systems | Computer Science, Software Engineering | Computer Science, Theory & Methods"
ACM TRANSACTIONS ON PRIVACY AND SECURITY,2471-2566,2471-2574,"Computer Science, Information Systems"
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,0164-0925,1558-4593,"Computer Science, Software Engineering"
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,1936-7406,1936-7414,"Computer Science, Hardware & Architecture"
ACM TRANSACTIONS ON SENSOR NETWORKS,1550-4859,1550-4867,"Computer Science, Information Systems | Telecommunications"
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049-331X,1557-7392,"Computer Science, Software Engineering"
ACM TRANSACTIONS ON STORAGE,1553-3077,1553-3093,"Computer Science, Hardware & Architecture | Computer Science, Software Engineering"
ACM TRANSACTIONS ON THE WEB,1559-1131,1559-114X,"Computer Science, Information Systems | Computer Science, Software Engineering"
ACOUSTICAL PHYSICS,1063-7710,1562-6865,Acoustics
ACOUSTICS AUSTRALIA,0814-6039,1839-2571,Acoustics
ACS APPLIED ELECTRONIC MATERIALS,,2637-6113,"Engineering, Electrical & Electronic | Materials Science, Multidisciplinary"
ACS APPLIED ENERGY MATERIALS,2574-0962,2574-0962,"Chemistry, Physical | Energy & Fuels | Materials Science, Multidisciplinary"
ACS APPLIED MATERIALS & INTERFACES,1944-8244,1944-8252,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary"
ACS APPLIED NANO MATERIALS,,2574-0970,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary"
ACS APPLIED POLYMER MATERIALS,2637-6105,2637-6105,"Materials Science, Multidisciplinary | Polymer Science"
ACS BIOMATERIALS SCIENCE & ENGINEERING,2373-9878,2373-9878,"Materials Science, Biomaterials"
ACS CATALYSIS,2155-5435,2155-5435,"Chemistry, Physical"
ACS CENTRAL SCIENCE,2374-7943,2374-7951,"Chemistry, Multidisciplinary"
ACS CHEMICAL BIOLOGY,1554-8929,1554-8937,Biochemistry & Molecular Biology
