year,doi,title,authors,number.authors,citations,source.pages.count
1998,10.1118/1.598167,CT-based Monte Carlo simulation tool for dosimetry planning and analysis,"DeMarco, JJ ; Solberg, TD ; Smathers, JB",3,171,11
1998,10.1118/1.598169,Electron contamination in 8 and 18 MV photon beams,"Zhu, TC ; Palta, JR",2,48,8
1998,10.1118/1.598164,Characterization of a positron emitting V48 nitinol stent for intracoronary brachytherapy,"Li, AN ; Eigler, NL ; Litvack, F ; Whiting, JS",4,18,9
1998,10.1118/1.598434,Calculating lens dose and surface dose rates from <SUP>90</SUP>Sr ophthalmic applicators using Monte Carlo modeling,"Gleckler, M ; Valentine, JD ; Silberstein, EB",3,13,8
1998,10.1118/1.598171,Proliferation and the advantage of longer-lived radionuclides in radioimmunotherapy,"Howell, RW ; Goddu, SM ; Rao, DV",3,39,6
1998,10.1118/1.598168,Range spectra in electron penetration problems,"Perry, D ; Wollin, M ; Olch, A ; Buffa, A",4,0,13
1998,10.1118/1.598173,Calculating dose distributions and wedge factors for photon treatment fields with dynamic wedges based on a convolution/superposition method,"Liu, HH ; McCullough, EC ; Mackie, TR",3,14,8
1998,10.1118/1.598161,Characterizing output for the Varian enhanced dynamic wedge field,"Liu, CR ; Li, ZF ; Palta, JR",3,27,7
1998,10.1118/1.598163,Magnetic resonance quantification of the myocardial perfusion reserve with a Fermi function model for constrained deconvolution,"Jerosch-Herold, M ; Wilke, N ; Stillman, AE ; Wilson, RF",4,354,12
1998,10.1118/1.598162,Deadtime correction for two multihead Anger cameras in <SUP>131</SUP>I dual-energy-window-acquisition mode,"Koral, KF ; Zasadny, KR ; Ackermann, RJ ; Ficaro, EP",4,18,7
1998,10.1118/1.598160,Fast image reconstruction for optical absorption tomography in media with radially symmetric boundaries,"Hampel, U ; Freyer, R",2,9,10
1998,10.1118/1.598165,A method for measuring the presampled MTF of digital radiographic systems using an edge test device,"Samei, E ; Flynn, MJ ; Reimann, DA",3,672,12
1998,10.1118/1.598170,Diagnostic x-ray spectra: A comparison of spectra generated by different computational methods with a measured spectrum,"Bhat, M ; Pattison, J ; Bibbo, G ; Caon, M",4,57,7
1998,10.1118/1.598166,A new frame-based registration algorithm,"Yan, CH ; Whalen, RT ; Beaupre, GS ; Sumanaweera, TS ; Yen, SY ; Napel, S",6,6,8
1998,10.1118/1.598175,Analytic and quantitative exposition of patient-specific systematic inaccuracies inherent in planar DXA-derived in vivo BMD measurements,"Bolotin, HH",1,36,13
1998,10.1118/1.598176,The use of deconvolution and total least squares in recovering a radiation detector line spread function,"Charland, P ; El-Khatib, E ; Wolters, J",3,18,9
1998,10.1118/1.598191,Filter material selection for region of interest radiologic imaging,"Massoumzadeh, P ; Rudin, S ; Bednarek, DR",3,26,11
1998,10.1118/1.598177,Composite x-ray image assembly for large-field digital mammography with one- and two-dimensional positioning of a focal plane array,"Halama, G ; McAdoo, J ; Liu, H",3,5,4
1998,10.1118/1.598178,Evaluation of helical computed tomography scan parameters for vascular imaging,"Reynolds, DM ; Hazle, JD ; Johnston, DA ; Charnsangavej, C",4,4,7
1998,10.1118/1.598179,Frequency-domain near-infrared photo diffusion imaging: Initial evaluation in multitarget tissuelike phantoms,"Jiang, HB ; Paulsen, KD ; Osterberg, UL ; Patterson, MS",4,31,11
1998,10.1118/1.598180,An analysis of the assumptions and their significance in the determination of required shielding of CT installations,"Harpen, MD",1,3,5
1998,10.1118/1.598182,Experimental determination of the convolution kernel for the study of the spatial response of a detector,"Garcia-Vicente, F ; Delgado, JM ; Peraza, C",3,70,6
1998,10.1118/1.598183,A continuous penalty function method for inverse treatment planning,"Hristov, DH ; Fallone, BG",2,26,16
