year,doi,title,authors,number.authors,citations,source.pages.count
1998,10.1088/0031-9155/43/1/001,Elastostatics of a spherical inclusion in homogeneous biological media,"Bilgen, M ; Insana, MF",2,47,20
1998,10.1088/0031-9155/43/1/002,Liquid ionization chamber measurements of dose distributions in small 6 MV photon beams,"Dasu, A ; Lofroth, PO ; Wickman, G",3,19,16
1998,10.1088/0031-9155/43/1/003,Influence of source geometry and materials on the transverse axis dosimetry of <SUP>192</SUP>Ir brachytherapy sources,"Wang, RQ ; Sloboda, RS",2,22,12
1998,10.1088/0031-9155/43/1/004,Computerized optimization of multiple isocentres in stereotactic convergent beam irradiation,"Treuer, U ; Treuer, H ; Hoevels, M ; Muller, RP ; Sturm, V",5,12,16
1998,10.1088/0031-9155/43/1/005,Monte Carlo study of fluence perturbation effects on cavity dose response in clinical proton beams,"Palmans, H ; Verhaegen, F",2,38,25
1998,10.1088/0031-9155/43/1/006,The effects of intra-fraction organ motion on the delivery of dynamic intensity modulation,"Yu, CX ; Jaffray, DA ; Wong, JW",3,220,14
1998,10.1088/0031-9155/43/1/007,Modelling tissue heating with ferromagnetic seeds,"Kotte, ANTJ ; van Wieringen, N ; Lagendijk, JJW",3,16,16
1998,10.1088/0031-9155/43/1/008,Dose uniformity of ferromagnetic seed implants in tissue with discrete vasculature: a numerical study on the impact of seed characteristics and implantation techniques,"van Wieringen, N ; Kotte, ANTJ ; van Leeuwen, GMJ ; Lagendijk, JJW ; van Dijk, JDP ; Nieuwenhuys, GJ",6,12,18
1998,10.1088/0031-9155/43/1/009,Thermal properties of capacitively coupled electrodes in interstitial hyperthermia,"van der Koijk, JF ; Crezee, J ; Lagendijk, JJW",3,11,15
1998,10.1088/0031-9155/43/1/010,A feasibility study for megavoltage cone beam CT using a commercial EPID,"Midgley, S ; Millar, RM ; Dudson, J",3,71,15
1998,10.1088/0031-9155/43/1/011,Use of forward projection to correct patient motion during SPECT imaging,"Lee, KJ ; Barber, DC",2,24,17
1998,10.1088/0031-9155/43/1/012,Algorithms for calculating detector efficiency normalization coefficients for true coincidences in 3D PET,"Badawi, RD ; Lodge, MA ; Marsden, PK",3,35,17
1998,10.1088/0031-9155/43/1/013,An insight into the contributions of self-shielding and lamp reflectors to patient exposure in phototherapy units,"Langmack, KA",1,15,8
1998,10.1088/0031-9155/43/2/001,"Induced current densities from low-frequency magnetic fields in a 2 mm resolution, anatomically realistic model of the body","Dimbylow, PJ",1,119,10
1998,10.1088/0031-9155/43/2/002,The facial distribution of erythemal ultraviolet exposure in south-east Queensland,"Kimlin, MG ; Parisi, AV ; Wong, JCF",3,28,10
1998,10.1088/0031-9155/43/2/003,Configuration options for intensity-modulated radiation therapy using multiple static fields shaped by a multileaf collimator,"Webb, S",1,49,20
1998,10.1088/0031-9155/43/2/004,Improvements in absorbed dose measurements for external radiation therapy using ferrous dosimeter gel and MR imaging (FeMRI),"Back, SAJ ; Magnusson, P ; Fransson, A ; Olsson, LE ; Montelius, A ; Holmberg, O ; Andreo, P ; Mattsson, S",8,18,16
1998,10.1088/0031-9155/43/2/005,Evaluation of the scatter field for high-energy photon beam attenuators,"Castellanos, ME ; Rosenwald, JC",2,11,14
1998,10.1088/0031-9155/43/2/006,The FE-lspd model for electron beam dosimetry,"Werner, BL ; Cho, PS ; Pfund, J",3,0,21
1998,10.1088/0031-9155/43/2/007,Experimental W values of low-energy protons in the alkane series from methane to pentane,"Willems, G ; Grosswendt, B",2,3,11
1998,10.1088/0031-9155/43/2/008,W values and radial dose distributions for protons in TE-gas and air at energies up to 500 MeV,"Grosswendt, B ; Baek, WY",2,14,13
1998,10.1088/0031-9155/43/2/009,Improvement of the prompt-gamma neutron activation facility at Brookhaven National Laboratory,"Dilmanian, FA ; Lidofsky, LJ ; Stamatelatos, I ; Kamen, Y ; Yasumura, S ; Vartsky, D ; Pierson, RN ; Weber, DA ; Moore, RI ; Ma, R",10,21,11
1998,10.1088/0031-9155/43/2/010,Production and dosimetry of copper L ultrasoft x-rays for biological and biochemical investigations,"Hill, MA ; Vecchia, MD ; Townsend, KMS ; Goodhead, DT",4,20,13
1998,10.1088/0031-9155/43/2/011,Automated classification of parenchymal patterns in mammograms,"Karssemeijer, N",1,221,14
1998,10.1088/0031-9155/43/2/012,Measurement of bone mineral using multiple-energy x-ray absorptiometry,"Swanpalmer, J ; Kullenberg, R ; Hansson, T",3,18,9
1998,10.1088/0031-9155/43/2/013,Estimation of organ cumulated activities and absorbed doses on intakes of several <SUP>11</SUP>C labelled radiopharmaceuticals from external measurement with thermoluminescent dosimeters,"Nakamura, T ; Hayashi, Y ; Watabe, H ; Matsumoto, M ; Horikawa, T ; Fujiwara, T ; Ito, M ; Yanai, K",8,9,17
1998,10.1088/0031-9155/43/2/014,Reducing the influence of the partial volume effect on SPECT activity quantitation with 3D modelling of spatial resolution in iterative reconstruction,"Pretorius, PH ; King, MA ; Pan, TS ; de Vries, DJ ; Glick, SJ ; Byrne, CL",6,49,14
1998,10.1088/0031-9155/43/2/015,Two-dimensional statistical model for regularized backprojection in SPECT,"Pelegrini, M ; Benali, H ; Buvat, I ; El Fakhri, G ; Di Paola, R",5,10,14
1998,10.1088/0031-9155/43/2/016,Polarity and ion recombination correction factors for ionization chambers employed in electron beam dosimetry,"Nisbet, A ; Thwaites, DI",2,28,9
1998,10.1088/0031-9155/43/2/017,Monitor chamber backscatter for intensity modulated radiation therapy using multileaf collimators,"Hounsell, AR",1,24,10
1998,10.1088/0031-9155/43/2/018,A new imaging science test object for performance measurements of ultrasonic imaging systems,"Phillips, D ; Parker, KJ",2,4,11
1998,10.1088/0031-9155/43/2/019,Fractal dimension predicts broadband ultrasound attenuation in stereolithography models of cancellous bone,"Langton, CM ; Whitehead, MA ; Haire, TJ ; Hodgskinson, R",4,21,5
1998,10.1088/0031-9155/43/3/001,Measurement of dielectric properties of subcutaneous fat with open-ended coaxial sensors,"Alanen, E ; Lahtinen, T ; Nuutinen, J",3,78,11
1998,10.1088/0031-9155/43/3/002,γ-spectroscopy investigation of radon daughter deposition on electrostatically charged surfaces,"Batkin, I ; del Re, RB ; Boutin, JG ; Armitage, J",4,3,13
1998,10.1088/0031-9155/43/3/003,Calculation of radiation exposures from patients to whom radioactive materials have been administered,"Cormack, J ; Shearer, J",2,20,16
1998,10.1088/0031-9155/43/3/004,Complexity of Monte Carlo and deterministic dose-calculation methods,"Borgers, C",1,38,12
1998,10.1088/0031-9155/43/3/005,The effect of the nasopharyngeal air cavity on x-ray interface doses,"Kan, WK ; Wu, PM ; Leung, HT ; Lo, TC ; Chung, CW ; Kwong, DLW ; Sham, ST",7,32,9
1998,10.1088/0031-9155/43/3/006,On the use of unshielded cables in ionization chamber dosimetry for total-skin electron therapy,"Chen, Z ; Agostinelli, A ; Nath, R",3,5,8
1998,10.1088/0031-9155/43/3/007,The effect of delta rays on the ionometric dosimetry of proton beams,"Casnati, E ; Baraldi, C ; Boccaccio, P ; Bonifazzi, C ; Singh, B ; Tartari, A",6,8,12
1998,10.1088/0031-9155/43/3/008,Numerical solutions of differential equations of an ionization chamber: plane-parallel and spherical geometry,"Novkovic, D ; Tomasevic, M ; Subotic, K",3,4,17
1998,10.1088/0031-9155/43/3/009,A three-Gaussian fit of phantom scatter correction data,"van Gasteren, JJM ; van der Laarse, R ; Venselaar, JLM ; Heukelom, S ; Jager, HN ; van Kleffens, HJ ; Westermann, CF",7,4,9
1998,10.1088/0031-9155/43/3/010,An alternative beam quality index for medium-energy x-ray dosimetry,"Rosser, KE",1,10,12
1998,10.1088/0031-9155/43/3/011,Ionization chambers for measuring air kerma integrated over beam area. Deviations in calibration values using simplified calibration methods,"Larsson, JP ; Persliden, J ; Carlsson, GA",3,9,9
1998,10.1088/0031-9155/43/3/012,Examination of aperture signals in digital radiography,"Maher, KP ; Malone, JF",2,5,9
1998,10.1088/0031-9155/43/3/013,Limitations of clinical CT in assessing cortical thickness and density,"Newman, DL ; Dougherty, G ; Al Obaid, A ; Al Hajrasy, H",4,49,8
1998,10.1088/0031-9155/43/3/014,A potential diagnostic application of magnetization transfer contrast: an in vitro NMR study of excised human thyroid tissues,"Callicott, C ; Goode, AW",2,3,9
1998,10.1088/0031-9155/43/3/015,Optimal design of planar-concave collimators for SPECT - an analytical approach,"Kimiaei, S ; Larsson, SA",2,8,14
1998,10.1088/0031-9155/43/3/016,Parametric image reconstruction using spectral analysis of PET projection data,"Meikle, SR ; Matthews, JC ; Cunningham, VJ ; Bailey, DL ; Livieratos, L ; Jones, T ; Price, P",7,71,16
1998,10.1088/0031-9155/43/3/017,The P-transform and photoacoustic image reconstruction,"Liu, PY",1,32,8
1998,10.1088/0031-9155/43/3/018,Improved continuous light diffusion imaging in single- and multi-target tissue-like phantoms,"Jiang, HB ; Paulsen, KD ; Osterberg, UL ; Patterson, MS",4,37,19
1998,10.1088/0031-9155/43/3/019,Experimental procedure for the manufacture and calibration of polyacrylamide gel (PAG) for magnetic resonance imaging (MRI) radiation dosimetry,"Baldock, C ; Burford, RP ; Billingham, N ; Wagner, GS ; Patval, S ; Badawi, RD ; Keevil, SF",7,178,8
1998,10.1088/0031-9155/43/3/020,Execution times of five reconstruction algorithms in 3D positron emission tomography,"Egger, ML ; Morel, C",2,8,10
1998,10.1088/0031-9155/43/4/002,Minimal residual cone-beam reconstruction with attenuation correction in SPECT,"La, V ; Grangeat, P",2,8,13
1998,10.1088/0031-9155/43/4/003,Iterative reconstruction for helical CT: a simulation study,"Nuyts, J ; De Man, B ; Dupont, P ; Defrise, M ; Suetens, P ; Mortelmans, L",6,237,9
1998,10.1088/0031-9155/43/4/004,A Fourier rebinning algorithm incorporating spectral transfer efficiency for 3D PET,"Tanaka, E ; Amo, Y",2,19,8
1998,10.1088/0031-9155/43/4/005,Fast and stable cone-beam filtered backprojection method for non-planar orbits,"Kudo, H ; Saito, T",2,16,14
1998,10.1088/0031-9155/43/4/006,An analytic model of pinhole aperture penetration for 3D pinhole SPECT image reconstruction,"Smith, MF ; Jaszczak, RJ",2,43,15
1998,10.1088/0031-9155/43/4/007,Experience with fully 3D PET and implications for future high-resolution 3D tomographs,"Bailey, DL ; Miller, MP ; Spinks, TJ ; Bloomfield, PM ; Livieratos, L ; Young, HE ; Jones, T",7,29,10
1998,10.1088/0031-9155/43/4/008,Performance of the Fourier rebinning algorithm for PET with large acceptance angles,"Matej, S ; Karp, JS ; Lewitt, RM ; Becher, AJ",4,43,9
1998,10.1088/0031-9155/43/4/009,The dual-ellipse cross vertex path for exact reconstruction of long objects in cone-beam tomography,"Noo, F ; Clack, R ; White, TA ; Roney, TJ",4,28,14
1998,10.1088/0031-9155/43/4/010,Iterative and analytical reconstruction algorithms for varying-focal-length cone-beam projections,"Zeng, GSL ; Gullberg, GT",2,6,11
1998,10.1088/0031-9155/43/4/011,Intercomparison of four reconstruction techniques for positron volume imaging with rotating planar detectors,"Reader, AJ ; Visvikis, D ; Erlandsson, K ; Ott, RJ ; Flower, MA",5,41,12
1998,10.1088/0031-9155/43/4/012,Fast accurate iterative reconstruction for low-statistics positron volume imaging,"Reader, AJ ; Erlandsson, K ; Flower, MA ; Ott, RJ",4,140,12
1998,10.1088/0031-9155/43/4/013,"High-helical-pitch, cone-beam computed tomography","Silver, MD",1,16,9
1998,10.1088/0031-9155/43/4/014,Fast implementations of reconstruction-based scatter compensation in fully 3D SPECT image reconstruction,"Kadrmas, DJ ; Frey, EC ; Karimi, SS ; Tsui, BMW",4,110,17
1998,10.1088/0031-9155/43/4/015,Block-iterative techniques for fast 4D reconstruction using a priori motion models in gated cardiac SPECT,"Lalush, DS ; Tsui, BMW",2,111,12
1998,10.1088/0031-9155/43/4/016,Application of spherical harmonics to image reconstruction for the Compton camera,"Basko, R ; Zeng, GSL ; Gullberg, GT",3,88,8
1998,10.1088/0031-9155/43/4/017,The effect of activity outside the direct field of view in a 3D-only whole-body positron tomograph,"Spinks, TJ ; Miller, MP ; Bailey, DL ; Bloomfield, PM ; Livieratos, L ; Jones, T",6,42,10
1998,10.1088/0031-9155/43/4/018,Quantitative cardiac SPECT in three dimensions: validation by experimental phantom studies,"Liang, Z ; Ye, J ; Cheng, J ; Li, J ; Harrington, D",5,5,16
1998,10.1088/0031-9155/43/4/019,Axial slice width in 3D PET: characterization and potential improvement with axial interleaving,"Daube-Witherspoon, ME ; Carson, RE",2,4,8
1998,10.1088/0031-9155/43/4/020,Feldkamp and circle-and-line cone-beam reconstruction for 3D micro-CT of vascular networks,"Johnson, RH ; Hu, H ; Haworth, ST ; Cho, PS ; Dawson, CA ; Linehan, JH",6,55,12
1998,10.1088/0031-9155/43/4/021,Improved estimation of the detector response function for converging beam collimators,"Frey, EC ; Tsui, BMW ; Gullberg, GT",3,25,10
1998,10.1088/0031-9155/43/4/022,Three-dimensional reconstruction from cone-beam data using an efficient Fourier technique combined with a special interpolation filter,"Seger, MM",1,2,9
1998,10.1088/0031-9155/43/4/023,Normalization for 3D PET with a low-scatter planar source and measured geometric factors,"Oakes, TR ; Sossi, V ; Ruth, TJ",3,13,12
1998,10.1088/0031-9155/43/4/024,Kinetic parameter estimation from SPECT cone-beam projection measurements,"Huesman, RH ; Reutter, BW ; Zeng, GL ; Gullberg, GT",4,51,10
1998,10.1088/0031-9155/43/4/025,Tomographic reconstruction using 3D deformable models,"Battle, XL ; Cunningham, GS ; Hanson, KM",3,23,8
1998,10.1088/0031-9155/43/4/026,Combined constraints for efficient algebraic regularized methods in fully 3D reconstruction,"Laurette, I ; Darcourt, J ; Blanc-Feraud, L ; Koulibaly, PM ; Barlaud, M",5,4,10
1998,10.1088/0031-9155/43/4/027,High-resolution 3D Bayesian image reconstruction using the microPET small-animal scanner,"Qi, JY ; Leahy, RM ; Cherry, SR ; Chatziioannou, A ; Farquhar, TH",5,533,13
1998,10.1088/0031-9155/43/4/028,Exact cone beam CT with a spiral scan,"Tam, KC ; Samarasekera, S ; Sauer, F",3,151,10
1998,10.1088/0031-9155/43/4/029,Comparison of frequency-distance relationship and Gaussian-diffusion-based methods of compensation for distance-dependent spatial resolution in SPECT imaging,"Kohli, V ; King, MA ; Glick, SJ ; Pan, TS",4,27,13
1998,10.1088/0031-9155/43/4/030,Symmetry properties of an imaging system and consistency conditions in image space,"Clarkson, E ; Barrett, H",2,3,10
1998,10.1088/0031-9155/43/5/001,Torsion measurement of catheters using polarized light in a single glass fibre,"Konings, MK ; van Leeuwen, TG ; Mali, WPTM ; Viergever, MA",4,6,9
1998,10.1088/0031-9155/43/5/002,Effects of skeletal muscle anisotropy on human organ dosimetry under 60 Hz uniform magnetic field exposure,"Dawson, TW ; Stuchly, MA",2,19,16
