,journal,issn-l,issn-e,categories,oa-id
0,2D MATERIALS,2053-1583,2053-1583,"Materials Science, Multidisciplinary | Nanoscience & Nanotechnology | Physics, Applied",S4210229423
1,3 BIOTECH,2190-572X,2190-5738,Biotechnology & Applied Microbiology,S4210190239
2,3D PRINTING AND ADDITIVE MANUFACTURING,2329-7662,2329-7670,"Engineering, Manufacturing | Materials Science, Multidisciplinary",S4210174904
3,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,1619-4500,1614-2411,Operations Research & Management Science,S4210191715
4,AAPG BULLETIN,0149-1423,1558-9153,"Geosciences, Multidisciplinary",S144020083
5,AAPS JOURNAL,1550-7416,1550-7416,Pharmacology & Pharmacy,S74983066
6,AAPS PHARMSCITECH,1530-9932,1530-9932,Pharmacology & Pharmacy,S1234972
7,AATCC JOURNAL OF RESEARCH,2472-3444,2330-5517,"Materials Science, Textiles",S4210185648
8,AATCC REVIEW,1532-8813,1532-8813,"Chemistry, Applied | Engineering, Chemical | Materials Science, Textiles",S97859287
9,ABDOMINAL RADIOLOGY,2366-004X,2366-0058,"Radiology, Nuclear Medicine & Medical Imaging",S131800149
10,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,0025-5858,1865-8784,Mathematics,S13812875
11,ACADEMIC EMERGENCY MEDICINE,1069-6563,1553-2712,Emergency Medicine,S171705774
12,ACADEMIC MEDICINE,1040-2446,1938-808X,"Education, Scientific Disciplines | Health Care Sciences & Services",S19793444
13,ACADEMIC PEDIATRICS,1876-2859,1876-2867,Pediatrics,S141855577
14,ACADEMIC RADIOLOGY,1076-6332,1878-4046,"Radiology, Nuclear Medicine & Medical Imaging",S182038535
15,ACAROLOGIA,0044-586X,2107-7207,Entomology,S163259234
16,ACCOUNTABILITY IN RESEARCH-ETHICS INTEGRITY AND POLICY,0898-9621,1545-5815,Medical Ethics,S36233454
17,ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,1520-4898,"Chemistry, Multidisciplinary",S145378405
18,ACCREDITATION AND QUALITY ASSURANCE,0949-1775,1432-0517,"Chemistry, Analytical | Instruments & Instrumentation",S177975795
19,ACI MATERIALS JOURNAL,0889-325X,1944-737X,"Construction & Building Technology | Materials Science, Multidisciplinary",S2764471990
20,ACI STRUCTURAL JOURNAL,0889-3241,1944-7361,"Construction & Building Technology | Engineering, Civil | Materials Science, Multidisciplinary",S54133186
21,ACM COMPUTING SURVEYS,0360-0300,1557-7341,"Computer Science, Theory & Methods",S157921468
22,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,1556-4673,1556-4711,"Computer Science, Interdisciplinary Applications",S4210184050
23,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,1550-4832,1550-4840,"Computer Science, Hardware & Architecture | Engineering, Electrical & Electronic | Nanoscience & Nanotechnology",S96198239
24,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,0146-4833,1943-5819,"Computer Science, Information Systems",S66039016
25,ACM TRANSACTIONS ON ALGORITHMS,1549-6325,1549-6333,"Computer Science, Theory & Methods | Mathematics, Applied",S137348503
26,ACM TRANSACTIONS ON APPLIED PERCEPTION,1544-3558,1544-3965,"Computer Science, Software Engineering",S32453091
27,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,1544-3566,1544-3973,"Computer Science, Hardware & Architecture | Computer Science, Theory & Methods",S26056741
28,ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,2375-4699,2375-4702,"Computer Science, Artificial Intelligence",S4306421405
29,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,1556-4665,1556-4703,"Computer Science, Artificial Intelligence | Computer Science, Information Systems | Computer Science, Theory & Methods",S16632050
30,ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,1529-3785,1557-945X,"Computer Science, Theory & Methods | Logic",S117153874
