title,first author,openalex_id,total citations,citations_5yr
Medical image registration,David Hill,W2140139548,2050,415
Three-dimensional ultrasound imaging,Aaron Fenster,W2148234126,763,163
Polymer gels for magnetic resonance imaging of radiation dose distributions at normal room atmosphere,Peter Fong,W2090838842,384,83
Performance evaluation of the microPET P4: a PET system dedicated to animal imaging,Yuan‐Chuan Tai,W2160463229,303,145
<i>In vivo</i>cerebrovascular measurement combining diffuse near-infrared absorption and correlation spectroscopies,Cecil Cheung,W2124835578,299,61
The GSF family of voxel phantoms,Nina Petoussi-Henss,W2092218552,273,55
The interaction between Terahertz radiation and biological tissue,S W Smye,W1965721949,266,55
Determining changes in NIR absorption using a layered model of the human head,Jens Steinbrink,W1998195634,254,65
Changes in the dielectric properties of rat tissue as a function of age at microwave frequencies,Azadeh Peyman,W2108464088,238,37
In-beam PET measurements of β<sup>+</sup>radioactivity induced by proton beams,Katia Parodi,W2023921468,234,27
Monte Carlo simulation of electron beams from an accelerator head using PENELOPE,Josep Sempau,W2000076883,228,39
Temporal backward projection of optoacoustic pressure transients using Fourier transform methods,Kornel P. Köstli,W2046277770,222,29
Respiratory effects in human functional magnetic resonance imaging due to bulk susceptibility changes,Devesh Raj,W2021260330,209,19
Tissue engineering: the biophysical background,A. S. G. Curtis,W2006482556,196,62
Clinically feasible reconstruction of 3D whole-body PET/CT data using blurred anatomical labels,Claude Comtat,W2024903557,180,42
Dose resolution in radiotherapy polymer gel dosimetry: effect of echo spacing in MRI pulse sequence,Clive Baldock,W2108160232,170,60
<i>In vivo</i>optical characterization of human tissues from 610 to 1010 nm by time-resolved reflectance spectroscopy,Alessandro Torricelli,W1991918711,164,49
X-ray scattering from human breast tissues and breast-equivalent materials,M.E. Poletti,W2066996640,160,25
Total variation norm for three-dimensional iterative reconstruction in limited view angle tomography,Mikael Persson,W1969899894,156,12
Conductivity of living intracranial tissues,Juha Latikka,W2011363973,155,17
"A CCD-based optical CT scanner for high-resolution 3D imaging of radiation dose distributions: equipment specifications, optical simulations and preliminary results",Simon Doran,W2157835843,154,30
Time resolved optical tomography of the human forearm,Elizabeth M. C. Hillman,W2087324007,145,57
Treatment planning for heavy ion radiotherapy: clinical implementation and application,Oliver Jäkel,W2039539007,142,40
An experimental study of the dose response of polymer gel dosimeters imaged with x-ray computed tomography,Jamie Trapp,W2023903796,133,50
Functional CT imaging of angiogenesis in rabbit VX2 soft-tissue tumour,Thomas G. Purdie,W2091543688,122,27
On the accuracy of monomer/polymer gel dosimetry in the proximity of a high-dose-rate<sup>192</sup>Ir source,Yves De Deene,W2017611365,120,50
A multiobjective gradient-based dose optimization algorithm for external beam conformal radiotherapy,C. Cotrutz,W2021131581,123,32
Monitoring of deep brain temperature in infants using multi-frequency microwave radiometry and thermal modelling,J. W. Hand,W2165234568,120,9
Tumour dosimetry in human liver following hepatic yttrium-90 microsphere therapy,Andrew Campbell,W1999553451,119,18
Mechanical haemolysis in shock wave lithotripsy (SWL): I. Analysis of cell deformation due to SWL flow-fields,Murtuza Lokhandwalla,W2146395715,115,22
The MLC tongue-and-groove effect on IMRT dose distributions,Jun Deng,W2001456707,114,43
Ordered subset reconstruction for x-ray CT,Freek J Beekman,W2043606346,108,24
Projection access order in algebraic reconstruction technique for diffuse optical tomography,Xavier Intes,W2093659227,108,18
Detector development for microPET II: a 1 μl resolution PET scanner for small animal imaging,Arion F. Chatziioannou,W2032861454,106,61
